latitude,longitude,month,"<xarray.DataArray 't' (latitude: 37, longitude: 396)>
array([[28.638367, 28.698883, 28.661224, ..., 29.155853, 29.019714,
        28.941376],
       [28.757416, 28.79776 , 28.750671, ..., 29.406006, 29.260254,
        29.134521],
       [28.831665, 28.846375, 28.845428, ..., 29.588715, 29.46283 ,
        29.382874],
       ...,
       [25.837738, 25.843323, 25.842041, ..., 26.016022, 26.016815,
        26.01889 ],
       [25.79599 , 25.803467, 25.801544, ..., 25.936005, 25.931702,
        25.93637 ],
       [25.74936 , 25.757782, 25.760529, ..., 25.850555, 25.84668 ,
        25.860321]], dtype=float32)
Coordinates:
  * longitude  (longitude) float64 -5.0 -4.75 -4.5 -4.25 ... 2.25 2.5 2.75 3.0
  * latitude   (latitude) float32 12.0 11.75 11.5 11.25 ... 3.75 3.5 3.25 3.0
    month      (longitude) int64 1 1 1 1 1 1 1 1 1 ... 12 12 12 12 12 12 12 12"
12.0,-5.0,1,28.638367
12.0,-4.75,1,28.698883
12.0,-4.5,1,28.661224
12.0,-4.25,1,28.438263
12.0,-4.0,1,28.320312
12.0,-3.75,1,28.426147
12.0,-3.5,1,28.529755
12.0,-3.25,1,28.483154
12.0,-3.0,1,28.291962
12.0,-2.75,1,28.284515
12.0,-2.5,1,28.414642
12.0,-2.25,1,28.45346
12.0,-2.0,1,28.40982
12.0,-1.75,1,28.31314
12.0,-1.5,1,28.221558
12.0,-1.25,1,28.219696
12.0,-1.0,1,28.300934
12.0,-0.75,1,28.29889
12.0,-0.5,1,28.274963
12.0,-0.25,1,28.26239
12.0,0.0,1,28.259918
12.0,0.25,1,28.311829
12.0,0.5,1,28.351593
12.0,0.75,1,28.416962
12.0,1.0,1,28.467072
12.0,1.25,1,28.463165
12.0,1.5,1,28.405334
12.0,1.75,1,28.367554
12.0,2.0,1,28.356323
12.0,2.25,1,28.283539
12.0,2.5,1,28.183075
12.0,2.75,1,28.07611
12.0,3.0,1,28.023468
12.0,-5.0,2,31.362335
12.0,-4.75,2,31.404358
12.0,-4.5,2,31.366943
12.0,-4.25,2,31.173004
12.0,-4.0,2,31.083282
12.0,-3.75,2,31.17038
12.0,-3.5,2,31.241364
12.0,-3.25,2,31.189575
12.0,-3.0,2,31.0083
12.0,-2.75,2,31.011383
12.0,-2.5,2,31.141083
12.0,-2.25,2,31.197113
12.0,-2.0,2,31.161377
12.0,-1.75,2,31.071259
12.0,-1.5,2,30.991302
12.0,-1.25,2,30.982483
12.0,-1.0,2,31.065887
12.0,-0.75,2,31.055298
12.0,-0.5,2,31.030426
12.0,-0.25,2,31.01239
12.0,0.0,2,30.989777
12.0,0.25,2,31.045532
12.0,0.5,2,31.083588
12.0,0.75,2,31.151764
12.0,1.0,2,31.206299
12.0,1.25,2,31.210388
12.0,1.5,2,31.171936
12.0,1.75,2,31.138245
12.0,2.0,2,31.126953
12.0,2.25,2,31.065643
12.0,2.5,2,30.985016
12.0,2.75,2,30.889404
12.0,3.0,2,30.839172
12.0,-5.0,3,33.869995
12.0,-4.75,3,33.895905
12.0,-4.5,3,33.933655
12.0,-4.25,3,33.89691
12.0,-4.0,3,33.879944
12.0,-3.75,3,33.935577
12.0,-3.5,3,34.003937
12.0,-3.25,3,34.030426
12.0,-3.0,3,33.940186
12.0,-2.75,3,33.919373
12.0,-2.5,3,33.982544
12.0,-2.25,3,34.061768
12.0,-2.0,3,34.078644
12.0,-1.75,3,34.055298
12.0,-1.5,3,34.029694
12.0,-1.25,3,34.02948
12.0,-1.0,3,34.11682
12.0,-0.75,3,34.106598
12.0,-0.5,3,34.101135
12.0,-0.25,3,34.10852
12.0,0.0,3,34.106842
12.0,0.25,3,34.175537
12.0,0.5,3,34.20282
12.0,0.75,3,34.26288
12.0,1.0,3,34.306458
12.0,1.25,3,34.319763
12.0,1.5,3,34.31964
12.0,1.75,3,34.32431
12.0,2.0,3,34.36325
12.0,2.25,3,34.37033
12.0,2.5,3,34.367004
12.0,2.75,3,34.33008
12.0,3.0,3,34.297424
12.0,-5.0,4,34.170197
12.0,-4.75,4,34.142303
12.0,-4.5,4,34.202087
12.0,-4.25,4,34.295868
12.0,-4.0,4,34.331787
12.0,-3.75,4,34.325928
12.0,-3.5,4,34.383728
12.0,-3.25,4,34.499146
12.0,-3.0,4,34.500763
12.0,-2.75,4,34.42096
12.0,-2.5,4,34.363007
12.0,-2.25,4,34.419617
12.0,-2.0,4,34.466278
12.0,-1.75,4,34.508087
12.0,-1.5,4,34.544373
12.0,-1.25,4,34.567688
12.0,-1.0,4,34.641327
12.0,-0.75,4,34.586
12.0,-0.5,4,34.553772
12.0,-0.25,4,34.552155
12.0,0.0,4,34.547333
12.0,0.25,4,34.600952
12.0,0.5,4,34.61621
12.0,0.75,4,34.66684
12.0,1.0,4,34.682434
12.0,1.25,4,34.680847
12.0,1.5,4,34.691467
12.0,1.75,4,34.747864
12.0,2.0,4,34.864807
12.0,2.25,4,34.98297
12.0,2.5,4,35.149384
12.0,2.75,4,35.28015
12.0,3.0,4,35.350403
12.0,-5.0,5,32.35016
12.0,-4.75,5,32.263916
12.0,-4.5,5,32.3132
12.0,-4.25,5,32.4588
12.0,-4.0,5,32.491394
12.0,-3.75,5,32.443268
12.0,-3.5,5,32.469604
12.0,-3.25,5,32.587646
12.0,-3.0,5,32.616974
12.0,-2.75,5,32.536285
12.0,-2.5,5,32.44391
12.0,-2.25,5,32.47223
12.0,-2.0,5,32.491394
12.0,-1.75,5,32.525757
12.0,-1.5,5,32.57785
12.0,-1.25,5,32.60678
12.0,-1.0,5,32.677887
12.0,-0.75,5,32.605194
12.0,-0.5,5,32.54605
12.0,-0.25,5,32.52365
12.0,0.0,5,32.494812
