latitude,longitude,month,"<xarray.DataArray 'r' (latitude: 37, longitude: 396)>
array([[18.793911, 18.965187, 18.398207, ..., 18.866547, 19.271273,
        19.565584],
       [19.580229, 19.425623, 18.646044, ..., 19.15216 , 19.430243,
        20.180214],
       [20.414602, 20.024244, 19.166777, ..., 19.472445, 19.84692 ,
        20.669466],
       ...,
       [81.886925, 81.877304, 81.90431 , ..., 81.76664 , 81.68621 ,
        81.81145 ],
       [81.978676, 82.01549 , 82.00904 , ..., 82.13626 , 82.082504,
        82.08208 ],
       [82.132286, 82.07965 , 82.11814 , ..., 82.34556 , 82.47815 ,
        82.37552 ]], dtype=float32)
Coordinates:
  * longitude  (longitude) float64 -5.0 -4.75 -4.5 -4.25 ... 2.25 2.5 2.75 3.0
  * latitude   (latitude) float32 12.0 11.75 11.5 11.25 ... 3.75 3.5 3.25 3.0
    month      (longitude) int64 1 1 1 1 1 1 1 1 1 ... 12 12 12 12 12 12 12 12"
12.0,-5.0,1,18.793911
12.0,-4.75,1,18.965187
12.0,-4.5,1,18.398207
12.0,-4.25,1,17.86773
12.0,-4.0,1,18.425413
12.0,-3.75,1,18.225851
12.0,-3.5,1,18.133633
12.0,-3.25,1,17.558578
12.0,-3.0,1,18.828743
12.0,-2.75,1,19.38247
12.0,-2.5,1,17.609484
12.0,-2.25,1,17.486034
12.0,-2.0,1,17.558838
12.0,-1.75,1,17.606003
12.0,-1.5,1,17.974722
12.0,-1.25,1,17.414036
12.0,-1.0,1,16.570549
12.0,-0.75,1,16.327236
12.0,-0.5,1,16.235744
12.0,-0.25,1,16.201612
12.0,0.0,1,16.369818
12.0,0.25,1,16.60225
12.0,0.5,1,16.68134
12.0,0.75,1,16.06393
12.0,1.0,1,15.545854
12.0,1.25,1,15.376729
12.0,1.5,1,15.589828
12.0,1.75,1,15.767847
12.0,2.0,1,15.758512
12.0,2.25,1,15.892712
12.0,2.5,1,15.990276
12.0,2.75,1,16.195314
12.0,3.0,1,16.17399
12.0,-5.0,2,15.640096
12.0,-4.75,2,15.757153
12.0,-4.5,2,15.398019
12.0,-4.25,2,14.947169
12.0,-4.0,2,15.277928
12.0,-3.75,2,15.195135
12.0,-3.5,2,15.268722
12.0,-3.25,2,14.862924
12.0,-3.0,2,15.854276
12.0,-2.75,2,16.274878
12.0,-2.5,2,14.84315
12.0,-2.25,2,14.568009
12.0,-2.0,2,14.569369
12.0,-1.75,2,14.652415
